id,inventaris_id,polygon,lat,lng,,,,,,,,,,polygon cek gedung,,,,1587E,"{""type"":""Polygon"",""coordinates"":[[[112.170494619,-8.08316542],[112.170197852,-8.083052885],[112.170160768,-8.083038823],[112.170197963,-8.082948608],[112.170550798,-8.083077906],[112.1705165,-8.083173717],[112.170494619,-8.08316542]]]}",-8.083060327,112.1703577
129,153,"{""type"":""Polygon"",""coordinates"":[[[112.17864489,-8.081690336,0],[112.178443505,-8.081862784,0],[112.178107269,-8.081668222,0],[112.178298355,-8.081478321,0],[112.17864489,-8.081690336,0]]]}",-8.081673487,112.1783733,,,,21,,,,,,#N/A,,,,Kantor Kel.urahan Su,"{""type"":""Polygon"",""coordinates"":[[[112.157985424,-8.101297232],[112.158099638,-8.101316267],[112.15804967,-8.101547075],[112.15787359,-8.10152328],[112.157895005,-8.101397169],[112.15796163,-8.101406687],[112.157985424,-8.101297232]]]}",-8.101432378,112.157994
130,154,"{""type"":""Polygon"",""coordinates"":[[[112.189520864,-8.066940561,0],[112.18949999,-8.066942458,0],[112.189478222,-8.066932468,0],[112.189322917,-8.066824865,0],[112.189481425,-8.066618651,0],[112.189684678,-8.066753495,0],[112.189545245,-8.066920345,0],[112.189532774,-8.066931718,0],[112.189520864,-8.066940561,0]]]}",-8.066787069,112.1895017,,,,22,,,,,,#N/A,,,,Kantor Kelurahan Tan,"{""type"":""Polygon"",""coordinates"":[[[112.143592668,-8.084831672],[112.143712033,-8.0848588],[112.143687108,-8.084955737],[112.143725441,-8.084967301],[112.143708309,-8.085021553],[112.143669857,-8.085012249],[112.143646746,-8.085090875],[112.143526994,-8.085065811],[112.143592668,-8.084831672]]]}",-8.084963717,112.1436256
131,155,"{""type"":""Polygon"",""coordinates"":[[[112.190463852,-8.067063951,0],[112.190266685,-8.06742441,0],[112.19000092,-8.067244794,0],[112.190211751,-8.066899384,0],[112.190463852,-8.067063951,0]]]}",-8.067160145,112.190235,,,,23,,,,,,#N/A,,,,Kantor Kelurahan Tan,"{""type"":""Polygon"",""coordinates"":[[[112.143801441,-8.084952398],[112.143914991,-8.08497475],[112.143889006,-8.085099924],[112.143771936,-8.085078985],[112.143801441,-8.084952398]]]}",-8.085026766,112.1438441
132,156,"{""type"":""Polygon"",""coordinates"":[[[112.187862374,-8.075938171,0],[112.187752235,-8.076390504,0],[112.187373589,-8.076284506,0],[112.187342586,-8.076260749,0],[112.187326392,-8.076236917,0],[112.187327863,-8.076209072,0],[112.187419362,-8.075832008,0],[112.187457874,-8.0756733,0],[112.187898808,-8.07578854,0],[112.187862374,-8.075938171,0]]]}",-8.076029262,112.1876071,,,,32,,,,,,#N/A,,,,Kantor Kelurahan Tur,"{""type"":""Polygon"",""coordinates"":[[[112.152249424,-8.10287366],[112.152480708,-8.102933622],[112.152456556,-8.103026144],[112.152552091,-8.103049264],[112.152530676,-8.103136352],[112.152349361,-8.10309495],[112.152372204,-8.102987874],[112.152228009,-8.102950755],[112.152249424,-8.10287366]]]}",-8.103003118,112.1524
133,157,"{""type"":""Polygon"",""coordinates"":[[[112.164607598,-8.09118983,0],[112.164583631,-8.091286622,0],[112.164533936,-8.091276828,0],[112.164484125,-8.091479791,0],[112.164194655,-8.091409474,0],[112.164272315,-8.091109306,0],[112.164607598,-8.09118983,0]]]}",-8.091291227,112.1643875,,,,8,,,,,,#N/A,,,,Kantor Kelurahan Bli,"{""type"":""Polygon"",""coordinates"":[[[112.144795775,-8.101717915],[112.144806854,-8.101645051],[112.14490855,-8.101652912],[112.144923357,-8.101555435],[112.144823089,-8.101538273],[112.144832895,-8.101473782],[112.144975663,-8.101490914],[112.144945681,-8.101735047],[112.144795775,-8.101717915]]]}",-8.101608467,112.1448965
134,159,"{""type"":""Polygon"",""coordinates"":[[[112.165752149,-8.0829479,0],[112.165680385,-8.083298503,0],[112.16532261,-8.08321764,0],[112.165395168,-8.082867968,0],[112.165752149,-8.0829479,0]]]}",-8.083083093,112.1655376,,,,10,,,,,,#N/A,,,,Kantor Kelurahan Bli,"{""type"":""Polygon"",""coordinates"":[[[112.144806854,-8.101645051],[112.144823089,-8.101538273],[112.144923357,-8.101555435],[112.14490855,-8.101652912],[112.144806854,-8.101645051]]]}",-8.101597824,112.1448647
135,160,"{""type"":""Polygon"",""coordinates"":[[[112.169338615,-8.091447294,0],[112.169234982,-8.092142696,0],[112.168071204,-8.092017811,0],[112.168116153,-8.091877611,0],[112.168193446,-8.091746006,0],[112.168265014,-8.091615,0],[112.168287756,-8.091436371,0],[112.16829503,-8.091162216,0],[112.168295044,-8.091161685,0],[112.168300623,-8.091163212,0],[112.169338615,-8.091447294,0]]]}",-8.091699152,112.1687338,,,,52,,,,,,#N/A,,,,SMPN 3A,"{""type"":""Polygon"",""coordinates"":[[[112.172417596,-8.078632721],[112.172374231,-8.078742517],[112.172249844,-8.079057455],[112.171978586,-8.078964656],[112.172149907,-8.078539922],[112.172417596,-8.078632721]]]}",-8.078799081,112.1721988
136,165,"{""type"":""Polygon"",""coordinates"":[[[112.181106662,-8.109010667,0],[112.18096108,-8.109487285,0],[112.180895058,-8.10948099,0],[112.180892944,-8.109480789,0],[112.180904734,-8.109436105,0],[112.180740964,-8.109401338,0],[112.18069667,-8.109387502,0],[112.180696361,-8.109387406,0],[112.180398329,-8.109263492,0],[112.180201047,-8.109110667,0],[112.179672163,-8.108957771,0],[112.179514962,-8.108912325,0],[112.179515293,-8.108910951,0],[112.179587738,-8.10861104,0],[112.181106662,-8.109010667,0]]]}",-8.109019507,112.1803672,,,,43,,,,,,#N/A,,,,SMPN 3B,"{""type"":""Polygon"",""coordinates"":[[[112.172374231,-8.078742517],[112.172417596,-8.078632721],[112.17243568,-8.078598457],[112.172924897,-8.078788814],[112.172906359,-8.078828616],[112.172867803,-8.078928844],[112.172374231,-8.078742517]]]}",-8.078763674,112.172648
137,166,"{""type"":""Polygon"",""coordinates"":[[[112.158186459,-8.107658621,0],[112.158084504,-8.107969226,0],[112.157769157,-8.107867271,0],[112.157859256,-8.107573264,0],[112.158186459,-8.107658621,0]]]}",-8.107767097,112.1579766,,,,11,,,,,,#N/A,,,,SMPN 3C,"{""type"":""Polygon"",""coordinates"":[[[112.172304115,-8.078920046],[112.172797391,-8.079111884],[112.17274739,-8.079241863],[112.172249844,-8.079057455],[112.172304115,-8.078920046]]]}",-8.079081914,112.1725222
138,167,"{""type"":""Polygon"",""coordinates"":[[[112.163867235,-8.083269059,0],[112.163791145,-8.083499403,0],[112.1634754,-8.083414141,0],[112.163533135,-8.08321056,0],[112.16356162,-8.083184757,0],[112.163867235,-8.083269059,0]]]}",-8.083340435,112.1636694,,,,8,,,,,,#N/A,,,,SMPN 3D,"{""type"":""Polygon"",""coordinates"":[[[112.172906359,-8.078828616],[112.17304625,-8.078885896],[112.172884593,-8.079293872],[112.17274739,-8.079241863],[112.172906359,-8.078828616]]]}",-8.079061506,112.1728964
139,168,"{""type"":""Polygon"",""coordinates"":[[[112.187890972,-8.07641671,0],[112.187852305,-8.076418167,0],[112.187754552,-8.076391804,0],[112.187864419,-8.075938661,0],[112.18790058,-8.075789512,0],[112.188057576,-8.075830937,0],[112.188027342,-8.075977703,0],[112.187950312,-8.076351622,0],[112.187937869,-8.076380459,0],[112.187923763,-8.076404044,0],[112.187890972,-8.07641671,0]]]}",-8.076114391,112.1879097,,,,27,,,,,,#N/A,,,,SMPN 3F,"{""type"":""Polygon"",""coordinates"":[[[112.172575204,-8.07931496],[112.172884534,-8.079427985],[112.17272392,-8.07984439],[112.172405667,-8.07973434],[112.172575204,-8.07931496]]]}",-8.079581053,112.1726467
140,169,"{""type"":""Polygon"",""coordinates"":[[[112.165016162,-8.104714014,0],[112.164967236,-8.104862721,0],[112.164689232,-8.104761779,0],[112.16473541,-8.104623416,0],[112.165016162,-8.104714014,0]]]}",-8.104741072,112.1648536,,,,32,,,,,,#N/A,,,,SMPN 3E,"{""type"":""Polygon"",""coordinates"":[[[112.171758486,-8.079162746],[112.171945717,-8.079235962],[112.171849997,-8.079435856],[112.171669256,-8.079369759],[112.171758486,-8.079162746]]]}",-8.079300203,112.1718059
141,170,"{""type"":""Polygon"",""coordinates"":[[[112.174721215,-8.061794065,0],[112.174627875,-8.06199846,0],[112.174428439,-8.061907643,0],[112.174516218,-8.06169558,0],[112.174721215,-8.061794065,0]]]}",-8.061848143,112.1745734,,,,6,,,,,,#N/A,,,,1312A,"{""type"":""Polygon"",""coordinates"":[[[112.170586146,-8.099832788],[112.170570918,-8.100055969],[112.170478119,-8.100039313],[112.170485218,-8.099828454],[112.170586146,-8.099832788]]]}",-8.099937792,112.1705307
142,171,"{""type"":""Polygon"",""coordinates"":[[[112.172646948,-8.077250871,0],[112.172570822,-8.077464896,0],[112.172327887,-8.077380134,0],[112.172415534,-8.077162968,0],[112.172646948,-8.077250871,0]]]}",-8.07731519,112.1724894,,,,16,,,,,,#N/A,,,,1313C,"{""type"":""Polygon"",""coordinates"":[[[112.170187943,-8.100217125],[112.17019729,-8.100166793],[112.170413874,-8.100174942],[112.170411494,-8.100267741],[112.170185683,-8.100272672],[112.170187943,-8.100217125]]]}",-8.100220812,112.1702986
143,173,"{""type"":""Polygon"",""coordinates"":[[[112.150785542,-8.125915707,0],[112.149586658,-8.125552149,0],[112.1497698,-8.125236852,0],[112.149893706,-8.125023542,0],[112.150188191,-8.124369375,0],[112.150867678,-8.124589492,0],[112.150885224,-8.124584706,0],[112.15092191,-8.124593479,0],[112.151236133,-8.124694765,0],[112.150976715,-8.125397629,0],[112.15090411,-8.125594393,0],[112.150785542,-8.125915707,0]]]}",-8.125149566,112.1504509,,,,3,,,,,,#N/A,,,,1315B,"{""type"":""Polygon"",""coordinates"":[[[112.170546172,-8.099831072],[112.17044886,-8.099826893],[112.170353435,-8.099822795],[112.170336642,-8.099821355],[112.170203529,-8.099809946],[112.170173884,-8.099807423],[112.170002227,-8.099792814],[112.170026021,-8.099684773],[112.170266347,-8.09969667],[112.170271106,-8.099618148],[112.170337851,-8.099620958],[112.170344869,-8.09969905],[112.170589954,-8.099722844],[112.170586146,-8.099832788],[112.170546172,-8.099831072]]]}",-8.099750811,112.1703027
144,174,"{""type"":""Polygon"",""coordinates"":[[[112.15937725,-8.090645643,0],[112.158947413,-8.090830329,0],[112.159004456,-8.090566059,0],[112.15937725,-8.090645643,0]]]}",-8.090680677,112.1591097,,,,41,,,,,,#N/A,,,,1315I,"{""type"":""Polygon"",""coordinates"":[[[112.170355677,-8.099823735],[112.170351372,-8.099950977],[112.170212571,-8.099943671],[112.170222565,-8.099812325],[112.170355677,-8.099823735]]]}",-8.099883081,112.1702851
145,175,"{""type"":""Polygon"",""coordinates"":[[[112.180205788,-8.105917339,0],[112.18015485,-8.106056408,0],[112.180382606,-8.106121142,0],[112.180255247,-8.106476493,0],[112.179776529,-8.106321039,0],[112.179958375,-8.105835677,0],[112.180205788,-8.105917339,0]]]}",-8.106176981,112.1800763,,,,48,,,,,,#N/A,,,,1314D,"{""type"":""Polygon"",""coordinates"":[[[112.17058318,-8.099983909],[112.170584608,-8.099931084],[112.170671696,-8.099935368],[112.170671696,-8.099989619],[112.17058318,-8.099983909]]]}",-8.099960079,112.170628
146,176,"{""type"":""Polygon"",""coordinates"":[[[112.174837947,-8.094783363,0],[112.175110027,-8.095413852,0],[112.175507123,-8.095254746,0],[112.175115854,-8.097008404,0],[112.174139757,-8.096813325,0],[112.174025443,-8.097239289,0],[112.173230219,-8.097046997,0],[112.173262778,-8.096940335,0],[112.173380305,-8.09658792,0],[112.173439594,-8.096606437,0],[112.173500749,-8.096545922,0],[112.173683692,-8.09659599,0],[112.173874713,-8.095735149,0],[112.173906812,-8.095617982,0],[112.173647515,-8.09552381,0],[112.173711712,-8.095289474,0],[112.174837947,-8.094783363,0]]]}",-8.096064442,112.1744492,,,,104,,,,,,#N/A,,,,1312H,"{""type"":""Polygon"",""coordinates"":[[[112.170021262,-8.099795193],[112.17019292,-8.099809802],[112.17019068,-8.099884185],[112.170156416,-8.099882281],[112.170156416,-8.09992416],[112.169958445,-8.099901317],[112.169966059,-8.099792814],[112.170021262,-8.099795193]]]}",-8.099855151,112.1700726
147,177,"{""type"":""Polygon"",""coordinates"":[[[112.165817223,-8.098920954,0],[112.165770295,-8.098951209,0],[112.165705687,-8.098948026,0],[112.164431544,-8.098848519,0],[112.164401028,-8.098814239,0],[112.164405388,-8.09874634,0],[112.164582544,-8.097328015,0],[112.164629611,-8.097267721,0],[112.164690872,-8.097230426,0],[112.165972499,-8.097417786,0],[112.166022103,-8.097446586,0],[112.166041752,-8.097492593,0],[112.165834803,-8.098833974,0],[112.165817223,-8.098920954,0]]]}",-8.09810847,112.165208,,,,12,,,,,,#N/A,,,,1316E,"{""type"":""Polygon"",""coordinates"":[[[112.170212571,-8.099943671],[112.170351372,-8.099950977],[112.170348676,-8.100055506],[112.170159446,-8.10003947],[112.170031605,-8.100028636],[112.170041646,-8.099932389],[112.170212571,-8.099943671]]]}",-8.099992483,112.1701953
148,178,"{""type"":""Polygon"",""coordinates"":[[[112.147497742,-8.088416396,0],[112.147468157,-8.088530064,0],[112.147181652,-8.088447538,0],[112.147211236,-8.08834477,0],[112.147497742,-8.088416396,0]]]}",-8.088435382,112.1473419,,,,27,,hapus polygon,,,,#N/A,,,,1311J,"{""type"":""Polygon"",""coordinates"":[[[112.170348676,-8.100055506],[112.17037108,-8.100057186],[112.170360772,-8.100152021],[112.170202815,-8.100137042],[112.170148452,-8.100133259],[112.170159446,-8.10003947],[112.170348676,-8.100055506]]]}",-8.100095331,112.1702602
149,180,"{""type"":""Polygon"",""coordinates"":[[[112.144171784,-8.088245116,0],[112.144114172,-8.088427296,0],[112.143816766,-8.088326085,0],[112.143865036,-8.088157918,0],[112.144171784,-8.088245116,0]]]}",-8.088289571,112.1439942,,,,30,,,,,,#N/A,,,,2495G,"{""type"":""Polygon"",""coordinates"":[[[112.170041646,-8.099932389],[112.170031605,-8.100028636],[112.17002099,-8.10012439],[112.170011744,-8.100207792],[112.16992441,-8.100203443],[112.16995083,-8.099922256],[112.170041646,-8.099932389]]]}",-8.100065387,112.1699822
150,181,"{""type"":""Polygon"",""coordinates"":[[[112.145710975,-8.088734044,0],[112.145668154,-8.088883915,0],[112.145088135,-8.088704848,0],[112.145127063,-8.088556924,0],[112.145710975,-8.088734044,0]]]}",-8.088720155,112.1453995,,,,31,,,,,,#N/A,,,,1311K,"{""type"":""Polygon"",""coordinates"":[[[112.170148452,-8.100133259],[112.170202815,-8.100137042],[112.17019729,-8.100166793],[112.170187943,-8.100217125],[112.170011744,-8.100207792],[112.17002099,-8.10012439],[112.170148452,-8.100133259]]]}",-8.100171323,112.1701054
151,182,"{""type"":""Polygon"",""coordinates"":[[[112.166071665,-8.091598955,0],[112.165947781,-8.092227206,0],[112.165765049,-8.092185222,0],[112.165640389,-8.092210083,0],[112.165434413,-8.092306467,0],[112.165220089,-8.092415296,0],[112.165085375,-8.092431105,0],[112.164971648,-8.092401287,0],[112.164792893,-8.092376599,0],[112.164584218,-8.092183646,0],[112.165189319,-8.091647924,0],[112.165292542,-8.091392681,0],[112.166071665,-8.091598955,0]]]}",-8.09194697,112.165392,,,,3,,,,,,#N/A,,,,1430F,"{""type"":""Polygon"",""coordinates"":[[[112.170637282,-8.099464386],[112.170678697,-8.099468549],[112.170743485,-8.099475062],[112.170741334,-8.099489957],[112.170042202,-8.099418762],[112.170044855,-8.099404832],[112.170637282,-8.099464386]]]}",-8.099447522,112.1703966
152,183,"{""type"":""Polygon"",""coordinates"":[[[112.16507276,-8.10455316,0],[112.165019727,-8.104711458,0],[112.164735597,-8.10461897,0],[112.164795994,-8.104467912,0],[112.16507276,-8.10455316,0]]]}",-8.104588498,112.1649065,,,,40,,,,,,#N/A,,,,2092C,"{""type"":""Polygon"",""coordinates"":[[[112.177533113,-8.094024629],[112.177763921,-8.093908035],[112.177774109,-8.093924326],[112.177542886,-8.094036657],[112.177533113,-8.094024629]]]}",-8.093971172,112.177658
153,184,"{""type"":""Polygon"",""coordinates"":[[[112.163853872,-8.102413912,0],[112.163786911,-8.102727655,0],[112.163634636,-8.102693251,0],[112.163699552,-8.102383613,0],[112.163853872,-8.102413912,0]]]}",-8.102554455,112.163744,,,,37,,,,,,#N/A,,,,1277B,"{""type"":""Polygon"",""coordinates"":[[[112.177785812,-8.094147885],[112.177938098,-8.094083164],[112.177967221,-8.094145662],[112.177815317,-8.094203089],[112.177785812,-8.094147885]]]}",-8.094144327,112.1778778
154,185,"{""type"":""Polygon"",""coordinates"":[[[112.166893191,-8.1050093,0],[112.166878951,-8.105091971,0],[112.166640569,-8.105034943,0],[112.166654834,-8.104961454,0],[112.166893191,-8.1050093,0]]]}",-8.105024955,112.1667691,,,,43,,,,,,#N/A,,,,2093D,"{""type"":""Polygon"",""coordinates"":[[[112.177967221,-8.094145662],[112.177938098,-8.094083164],[112.177913292,-8.094028615],[112.177971589,-8.09400482],[112.178031075,-8.094145208],[112.177976483,-8.094166545],[112.177967221,-8.094145662]]]}",-8.094085386,112.1779727
155,187,"{""type"":""Polygon"",""coordinates"":[[[112.165181838,-8.104181304,0],[112.165073488,-8.104549973,0],[112.164797761,-8.104463467,0],[112.164842092,-8.104354975,0],[112.164896797,-8.104221092,0],[112.164954185,-8.104080645,0],[112.165067998,-8.104107523,0],[112.165081303,-8.104152825,0],[112.165181838,-8.104181304,0]]]}",-8.104321453,112.1649981,,,,39,,,,,,#N/A,,,,2094E,"{""type"":""Polygon"",""coordinates"":[[[112.178177801,-8.094499895],[112.178238477,-8.09448086],[112.178220631,-8.094581987],[112.178177801,-8.094499895]]]}",-8.094520914,112.1782123
156,188,"{""type"":""Polygon"",""coordinates"":[[[112.17462634,-8.061999564,0],[112.17457834,-8.062099176,0],[112.174383215,-8.06200634,0],[112.174426805,-8.061910069,0],[112.17462634,-8.061999564,0]]]}",-8.062004033,112.1745045,,,,15,,,,,,#N/A,,,,1305A,"{""type"":""Polygon"",""coordinates"":[[[112.177857588,-8.09402769],[112.177745837,-8.09407555],[112.177722313,-8.094024601],[112.177686256,-8.094037478],[112.177670041,-8.094004506],[112.17766271,-8.093989599],[112.177805324,-8.093925406],[112.177857588,-8.09402769]]]}",-8.09400148,112.1777657
157,189,"{""type"":""Polygon"",""coordinates"":[[[112.167842675,-8.085530231,0],[112.167766758,-8.085702254,0],[112.167463155,-8.085588164,0],[112.167512619,-8.085454784,0],[112.167842675,-8.085530231,0]]]}",-8.085570624,112.1676536,,,,21,,,,,,#N/A,,,,2400F,"{""type"":""Polygon"",""coordinates"":[[[112.177946755,-8.094329764],[112.178099784,-8.094668361],[112.177947023,-8.094735462],[112.177634838,-8.094017817],[112.177670041,-8.094004506],[112.177686256,-8.094037478],[112.177722313,-8.094024601],[112.177745837,-8.09407555],[112.177857588,-8.09402769],[112.177902368,-8.0940077],[112.177913292,-8.094028615],[112.177938098,-8.094083164],[112.177785812,-8.094147885],[112.177815317,-8.094203089],[112.177876323,-8.09435451],[112.177946755,-8.094329764]]]}",-8.094372833,112.1778773
158,190,"{""type"":""Polygon"",""coordinates"":[[[112.17175713,-8.090396321,0],[112.171623538,-8.090893541,0],[112.17104608,-8.090699462,0],[112.171067886,-8.090623495,0],[112.170778861,-8.090484628,0],[112.171052159,-8.089923172,0],[112.17161002,-8.09008584,0],[112.17154494,-8.090329041,0],[112.17175713,-8.090396321,0]]]}",-8.090404707,112.1712921,,,,29,,,,,,#N/A,,,,2203G,"{""type"":""Polygon"",""coordinates"":[[[112.177890868,-8.094840158],[112.178127862,-8.094745932],[112.178174975,-8.094847297],[112.17793227,-8.094942951],[112.177890868,-8.094840158]]]}",-8.094844221,112.1780317
159,191,"{""type"":""Polygon"",""coordinates"":[[[112.171757369,-8.089553599,0],[112.17161174,-8.090083949,0],[112.171051586,-8.089920458,0],[112.171269815,-8.089422329,0],[112.171757369,-8.089553599,0]]]}",-8.089751589,112.1714213,,,,30,,,,,,#N/A,,,,1277H,"{""type"":""Polygon"",""coordinates"":[[[112.178188062,-8.094723803],[112.178236841,-8.094702388],[112.178252308,-8.094733321],[112.178204718,-8.094752356],[112.178188062,-8.094723803]]]}",-8.094727776,112.1782206
160,192,"{""type"":""Polygon"",""coordinates"":[[[112.172731899,-8.089796929,0],[112.172520252,-8.090637686,0],[112.171547203,-8.090327663,0],[112.171758331,-8.089553939,0],[112.172731899,-8.089796929,0]]]}",-8.090081935,112.1721454,,,,31,,,,,,#N/A,,,,1305I,"{""type"":""Polygon"",""coordinates"":[[[112.178230913,-8.094689316],[112.178309415,-8.094183546],[112.178412207,-8.094189257],[112.178323691,-8.094713214],[112.178230913,-8.094689316]]]}",-8.094440854,112.1783199
161,203,"{""type"":""Polygon"",""coordinates"":[[[112.169199072,-8.093959325,0],[112.169156087,-8.093987091,0],[112.167875311,-8.093789748,0],[112.167842712,-8.092417486,0],[112.167886249,-8.09235367,0],[112.168184445,-8.09216782,0],[112.168237224,-8.09214771,0],[112.168327796,-8.092146953,0],[112.169327308,-8.09226878,0],[112.169368721,-8.092295427,0],[112.169402696,-8.092350866,0],[112.169213323,-8.093914665,0],[112.169199072,-8.093959325,0]]]}",-8.093034251,112.1685999,,,,14,,,,,,#N/A,,,,1277J,"{""type"":""Polygon"",""coordinates"":[[[112.178230913,-8.094689316],[112.178236841,-8.094702388],[112.178188062,-8.094723803],[112.178135952,-8.094732964],[112.178099784,-8.094668361],[112.177946755,-8.094329764],[112.177917042,-8.094251123],[112.178018169,-8.09422019],[112.178230913,-8.094689316]]]}",-8.094478993,112.1780753
162,205,"{""type"":""Polygon"",""coordinates"":[[[112.152518891,-8.101869125,0],[112.152214771,-8.103051545,0],[112.152193945,-8.103047185,0],[112.152509101,-8.101865037,0],[112.152534015,-8.101807736,0],[112.152556437,-8.101776594,0],[112.15258135,-8.101771612,0],[112.152639897,-8.101784068,0],[112.152608911,-8.10179127,0],[112.152565118,-8.101813167,0],[112.152518891,-8.101869125,0]]]}",-8.102415657,112.1523751,,,,28,,,,,,#N/A,,,,1216P,"{""type"":""Polygon"",""coordinates"":[[[112.164684719,-8.111092],[112.164816525,-8.111166848],[112.164768984,-8.111250568],[112.164637178,-8.11117572],[112.164684719,-8.111092]]]}",-8.111171284,112.1647269
163,847,"{""type"":""Polygon"",""coordinates"":[[[112.176980479,-8.083286681,0],[112.176821907,-8.08343375,0],[112.176625117,-8.083261719,0],[112.176730479,-8.083090075,0],[112.176980479,-8.083286681,0]]]}",-8.083266565,112.176793,,,,26,,,,,,#N/A,,,,1279O,"{""type"":""Polygon"",""coordinates"":[[[112.164000826,-8.110763924],[112.164033187,-8.110658276],[112.164502417,-8.110818176],[112.164466249,-8.110924776],[112.164000826,-8.110763924]]]}",-8.110791485,112.1642514
164,849,"{""type"":""Polygon"",""coordinates"":[[[112.189239541,-8.07291413,0],[112.18912412,-8.073261699,0],[112.189076292,-8.073257109,0],[112.188727963,-8.074539021,0],[112.188267554,-8.074426714,0],[112.188409966,-8.073926792,0],[112.188185533,-8.073856593,0],[112.18862014,-8.072705894,0],[112.189239541,-8.07291413,0]]]}",-8.073582275,112.1886805,,,,33,,,,,,#N/A,,,,1215A,"{""type"":""Polygon"",""coordinates"":[[[112.16463621,-8.111047838],[112.164552798,-8.111021424],[112.164627644,-8.110816554],[112.164709329,-8.11084502],[112.16463621,-8.111047838]]]}",-8.110932863,112.1646314
165,850,"{""type"":""Polygon"",""coordinates"":[[[112.188736735,-8.074546842,0],[112.18855504,-8.075134301,0],[112.188464487,-8.075116881,0],[112.188646314,-8.074523345,0],[112.188736735,-8.074546842,0]]]}",-8.074829442,112.1886008,,,,34,,,,,,#N/A,,,,1216B,"{""type"":""Polygon"",""coordinates"":[[[112.164552798,-8.111021424],[112.16463621,-8.111047838],[112.164600901,-8.111159339],[112.164427221,-8.11110434],[112.16446253,-8.110992839],[112.164552798,-8.111021424]]]}",-8.111076089,112.1645317
166,851,"{""type"":""Polygon"",""coordinates"":[[[112.188641218,-8.07452252,0],[112.18846046,-8.075116214,0],[112.188196607,-8.07507244,0],[112.188189078,-8.075108982,0],[112.188153044,-8.075283885,0],[112.188125856,-8.075415854,0],[112.187912843,-8.07532244,0],[112.18817058,-8.074407076,0],[112.188641218,-8.07452252,0]]]}",-8.074852821,112.1882667,,,,35,,,,,,#N/A,,,,1216C,"{""type"":""Polygon"",""coordinates"":[[[112.164152227,-8.110877944],[112.164430624,-8.110972171],[112.164378048,-8.111114879],[112.164090837,-8.111012146],[112.164152227,-8.110877944]]]}",-8.110995006,112.1642636
167,852,"{""type"":""Polygon"",""coordinates"":[[[112.188164539,-8.074408748,0],[112.187909185,-8.075317986,0],[112.187789318,-8.075257424,0],[112.187721733,-8.075216631,0],[112.187587965,-8.075131855,0],[112.187779266,-8.074326636,0],[112.188164539,-8.074408748,0]]]}",-8.074793097,112.1878655,,,,36,,,,,,#N/A,,,,1216D,"{""type"":""Polygon"",""coordinates"":[[[112.164177957,-8.110524293],[112.164142963,-8.110607661],[112.164008441,-8.110554532],[112.164046512,-8.110476485],[112.164177957,-8.110524293]]]}",-8.110541164,112.1640943
168,853,"{""type"":""Polygon"",""coordinates"":[[[112.189846492,-8.074611108,0],[112.189594198,-8.075421441,0],[112.188882978,-8.075267359,0],[112.188591573,-8.075204228,0],[112.188598836,-8.075181085,0],[112.18884706,-8.074390229,0],[112.189846492,-8.074611108,0]]]}",-8.074906789,112.1892194,,,,37,,,,,,#N/A,,,,1216E,"{""type"":""Polygon"",""coordinates"":[[[112.164200808,-8.110464604],[112.164236618,-8.110389936],[112.164410914,-8.110461749],[112.164373081,-8.11055312],[112.164195335,-8.110476739],[112.164200808,-8.110464604]]]}",-8.110470744,112.1643043
169,854,"{""type"":""Polygon"",""coordinates"":[[[112.187950353,-8.075536202,0],[112.188025627,-8.075558058,0],[112.188105858,-8.075542234,0],[112.188081921,-8.075677765,0],[112.187500985,-8.075497939,0],[112.187544227,-8.075359563,0],[112.187579638,-8.075376249,0],[112.187639371,-8.075392701,0],[112.187679655,-8.075415544,0],[112.187745617,-8.075419491,0],[112.187804256,-8.075454338,0],[112.187865953,-8.075504786,0],[112.187950353,-8.075536202,0]]]}",-8.075521521,112.1877875,,,,38,,,,,,#N/A,,,,1216F,"{""type"":""Polygon"",""coordinates"":[[[112.163829436,-8.110627366],[112.163855145,-8.110564769],[112.164021765,-8.110628771],[112.163989405,-8.11071919],[112.163817132,-8.110657324],[112.163829436,-8.110627366]]]}",-8.110642492,112.1639202
