id,inventaris_id,polygon,lat,lng,,,,,,,,,,polygon cek gedung,,,,1587E,"{""type"":""Polygon"",""coordinates"":[[[112.170494619,-8.08316542],[112.170197852,-8.083052885],[112.170160768,-8.083038823],[112.170197963,-8.082948608],[112.170550798,-8.083077906],[112.1705165,-8.083173717],[112.170494619,-8.08316542]]]}",-8.083060327,112.1703577
11,12,"{""type"":""Polygon"",""coordinates"":[[[112.164517716,-8.100861969,0],[112.164396878,-8.101374098,0],[112.163264958,-8.101141485,0],[112.163382323,-8.100606786,0],[112.164517716,-8.100861969,0]]]}",-8.100994961,112.1638868,,,,11,,,,,,#N/A,,,,2699F,"{""type"":""Polygon"",""coordinates"":[[[112.177381116,-8.093143877],[112.177326476,-8.093028993],[112.177367155,-8.093009645],[112.177421795,-8.093124529],[112.177381116,-8.093143877]]]}",-8.093076761,112.1773741
12,13,"{""type"":""Polygon"",""coordinates"":[[[112.158743639,-8.098699381,0],[112.158190248,-8.099416336,0],[112.155693176,-8.099023783,0],[112.15579404,-8.098445858,0],[112.158743639,-8.098699381,0]]]}",-8.098896754,112.1571726,,,,41,,,,,,#N/A,,,,1288A,"{""type"":""Polygon"",""coordinates"":[[[112.177375491,-8.092801718],[112.177375537,-8.092801831],[112.177451712,-8.092981088],[112.177369695,-8.093015386],[112.177263036,-8.092760333],[112.177345053,-8.092726035],[112.177375491,-8.092801718]]]}",-8.092870929,112.1773572
13,14,"{""type"":""Polygon"",""coordinates"":[[[112.145990017,-8.09881148,0],[112.145884375,-8.098991461,0],[112.145618315,-8.098850606,0],[112.145657442,-8.098701926,0],[112.145990017,-8.09881148,0]]]}",-8.098840001,112.145796,,,,41,,,,,,#N/A,,,,1288D,"{""type"":""Polygon"",""coordinates"":[[[112.177375491,-8.092801718],[112.177435629,-8.092318521],[112.177534615,-8.092329943],[112.177460376,-8.092809642],[112.177375491,-8.092801718]]]}",-8.092558678,112.1774524
14,15,"{""type"":""Polygon"",""coordinates"":[[[112.170944134,-8.094519785,0],[112.17074862,-8.095454327,0],[112.169975337,-8.095355382,0],[112.170037885,-8.094693208,0],[112.170404952,-8.094758876,0],[112.170468593,-8.094389114,0],[112.170944134,-8.094519785,0]]]}",-8.094969224,112.1704706,,,,28,,,,,,#N/A,,,,1288B,"{""type"":""Polygon"",""coordinates"":[[[112.177322946,-8.09273528],[112.17723281,-8.092772973],[112.177094237,-8.092441603],[112.177184373,-8.09240391],[112.177322946,-8.09273528]]]}",-8.092588442,112.1772086
15,16,"{""type"":""Polygon"",""coordinates"":[[[112.179129915,-8.113559382,0],[112.179047169,-8.113826995,0],[112.179031393,-8.113822796,0],[112.17890064,-8.113787993,0],[112.179001868,-8.11352683,0],[112.17911645,-8.113555959,0],[112.179129915,-8.113559382,0]]]}",-8.113678366,112.1790189,,,,28,,,,,,#N/A,,,,1565K,"{""type"":""Polygon"",""coordinates"":[[[112.177155247,-8.092587497],[112.177128203,-8.092598807],[112.177067193,-8.092452912],[112.177094237,-8.092441603],[112.177155247,-8.092587497]]]}",-8.092520205,112.1771112
16,17,"{""type"":""Polygon"",""coordinates"":[[[112.174188627,-8.099353605,0],[112.174161945,-8.099568676,0],[112.174013982,-8.099604252,0],[112.173910489,-8.099592124,0],[112.173924234,-8.099506419,0],[112.173971938,-8.099515313,0],[112.174011557,-8.09931722,0],[112.174188627,-8.099353605,0]]]}",-8.099471727,112.1740639,,,,51,,,,,,#N/A,,,,2398E,"{""type"":""Polygon"",""coordinates"":[[[112.177555768,-8.092083589],[112.17756859,-8.09200107],[112.17762558,-8.092010188],[112.177612758,-8.09209247],[112.177555768,-8.092083589]]]}",-8.092046823,112.1775907
17,19,"{""type"":""Polygon"",""coordinates"":[[[112.178780874,-8.062157483,0],[112.178560774,-8.062694908,0],[112.178355382,-8.062601957,0],[112.178562784,-8.062077382,0],[112.178780874,-8.062157483,0]]]}",-8.062381792,112.178566,,,,16,,,,,,#N/A,,,,1565I,"{""type"":""Polygon"",""coordinates"":[[[112.177542485,-8.09208914],[112.177468286,-8.092119621],[112.17747312,-8.092129585],[112.177399745,-8.092160898],[112.177375072,-8.09210257],[112.17751665,-8.092037135],[112.177542485,-8.09208914]]]}",-8.092098536,112.1774564
18,20,"{""type"":""Polygon"",""coordinates"":[[[112.145282072,-8.088139247,0],[112.145247738,-8.088169207,0],[112.144907123,-8.088072278,0],[112.144963568,-8.08786207,0],[112.145296042,-8.087916377,0],[112.145318975,-8.087944985,0],[112.145282072,-8.088139247,0]]]}",-8.088009581,112.1451209,,,,18,,,,,,#N/A,,,,1288C,"{""type"":""Polygon"",""coordinates"":[[[112.17713307,-8.092425363],[112.177067193,-8.092452912],[112.177021342,-8.092340809],[112.177225499,-8.092250865],[112.177219477,-8.092237828],[112.17747312,-8.092129585],[112.177468286,-8.092119621],[112.177542485,-8.09208914],[112.177555768,-8.092083589],[112.177597371,-8.092160259],[112.177530628,-8.09218815],[112.177540307,-8.092205794],[112.177117948,-8.092391729],[112.17713307,-8.092425363]]]}",-8.092259551,112.1773049
19,21,"{""type"":""Polygon"",""coordinates"":[[[112.148863357,-8.090933303,0],[112.148582176,-8.091857863,0],[112.147829184,-8.091662466,0],[112.148129428,-8.090704546,0],[112.148863357,-8.090933303,0]]]}",-8.091289724,112.1483484,,,,14,,,,,,#N/A,,,,1813H,"{""type"":""Polygon"",""coordinates"":[[[112.177319563,-8.09219529],[112.177219477,-8.092237828],[112.177225499,-8.092250865],[112.177164274,-8.092277839],[112.177134747,-8.092207267],[112.17729536,-8.092135883],[112.177319563,-8.09219529]]]}",-8.092204999,112.1772247
20,22,"{""type"":""Polygon"",""coordinates"":[[[112.142607214,-8.103538688,0],[112.142257866,-8.104626071,0],[112.141513361,-8.104396081,0],[112.141844107,-8.103345311,0],[112.141890895,-8.103340015,0],[112.142607214,-8.103538688,0]]]}",-8.103972211,112.1420585,,,,14,,,,,,#N/A,,,,1565J,"{""type"":""Polygon"",""coordinates"":[[[112.176990021,-8.092280858],[112.177067504,-8.092241921],[112.177087157,-8.09228103],[112.177009674,-8.092319967],[112.176990021,-8.092280858]]]}",-8.092280944,112.1770386
