id,inventaris_id,doc_path
1,1,03.KL.008.pdf
2,2,02.BGT.018.pdf
3,4,02.KT.010.pdf
4,5,02.SW.010.pdf
5,6,01.PKD.006.pdf
6,7,01.TR.004.pdf
7,8,02.BGT.060.pdf
8,9,03.KL.009.pdf
9,11,01.TJS.001.pdf
10,12,03.KK.017.pdf
11,13,01.SKR.011.pdf
12,14,01.PKD.005.pdf
13,15,03.KL.010.pdf
14,16,02.KT.024.pdf
15,17,02.SW.014.pdf
16,19,03.NDR.027.pdf
17,20,01.TJS.007.pdf
18,21,01.PKD.028.pdf
19,22,01.BL.014.pdf
20,23,03.BD.007.pdf
21,24,03.KL.016.pdf
22,25,03.BD.006.pdf
23,26,01.TJS.008.pdf
24,28,03.KK.007.pdf
25,32,02.BGT.012.pdf
26,33,02.KMP.001.pdf
27,34,02.RB.003.pdf
28,35,02.SW.004.pdf
29,36,02.SW.003.pdf
30,37,01.BL.015.pdf
31,38,01.KRS.012.pdf
32,39,01.TJS.015.pdf
33,41,02.BGT.011.pdf
34,42,03.KL.007.pdf
35,43,02.SW.006.pdf
36,44,03.KK.016.pdf
37,45,03.KL.006.pdf
38,46,02.SW.011.pdf
39,46,02.SW.011.pdf
40,47,02.SW.012.pdf
41,48,03.KM.016.pdf
42,49,02.PSK.011.pdf
43,52,02.SW.024.pdf
44,53,02.SW.008.pdf
45,54,03.KL.020.pdf
46,55,03.NDR.018.pdf
47,56,03.KL.005.pdf
48,58,03.BD.003.pdf
49,59,03.TG.006.pdf
50,60,03.TG.004.pdf
51,61,03.KM.001.pdf
52,64,01.SKR.008.pdf
53,65,02.SW.016.pdf
54,66,02.GD.006.pdf
55,67,02.GD.041.pdf
56,69,02.KMP.002.pdf
57,70,02.SW.021.pdf
58,71,02.BGT.037.pdf
59,72,02.RB.005.pdf
60,73,01.PKD.018.pdf
61,74,01.PKD.001.pdf
62,75,01.SKR.002.pdf
63,76,01.TR.003.pdf
64,77,01.KRS.015.pdf
65,79,03.BD.025.pdf
66,80,01.BL.003.pdf
67,82,01.TJS.026.pdf
68,83,02.SW.038.pdf
69,84,02.SW.039.pdf
70,85,02.BGT.009.pdf
71,88,02.PSK.015.pdf
72,89,01.PKD.036.pdf
73,90,01.PKD.040.pdf
74,91,01.KRS.002.pdf
75,92,01.PKD.009.pdf
76,93,01.PKD.003.pdf
77,94,01.SKR.006.pdf
78,95,01.SKR.004.pdf
79,96,01.SKR.003.pdf
80,97,01.TP.001.pdf
81,98,01.SKR.012.pdf
82,99,02.SW.001.pdf
83,100,02.BGT.001.pdf
84,101,02.BGT.004.pdf
85,102,02.BGT.003.pdf
86,103,02.BGT.005.pdf
87,104,02.BGT.002.pdf
88,105,02.GD.001.pdf
89,106,02.GD.002.pdf
90,107,02.GD.033.pdf
91,108,02.KT.002.pdf
92,109,02.KT.001.pdf
93,113,02.RB.001.pdf
94,114,02.RB.002 .pdf
95,115,02.BGT.010.pdf
96,116,03.KK.018.pdf
97,117,03.KK.001.pdf
98,118,01.TJS.010.pdf
99,119,03.KL.019.pdf
100,120,03.TG.005.pdf
101,123,01.SKR.007.pdf
102,124,01.SKR.001.pdf
103,125,01.TJS.002.pdf
104,126,01.BL.010.pdf
105,127,01.BL.010.pdf
106,128,01.TJS.003.pdf
107,129,01.KRS.003.pdf
108,130,01.KRS.001.pdf
109,131,02.BGT.038.pdf
110,132,02.BGT.036.pdf
111,133,02.KT.012.pdf
112,134,01.TR.002.pdf
113,135,01.BL.009.pdf
114,136,01.TR.001.pdf
115,137,03.KK.012.pdf
116,138,03.KK.013.pdf
117,139,03.KK.003.pdf
118,142,03.KL.018.pdf
119,144,03.KL.002.pdf
120,145,03.BD.002.pdf
121,146,03.BD.021.pdf
122,147,03.TG.002.pdf
123,148,03.TG.003.pdf
124,149,03.NDR.001.pdf
125,150,03.NDR.002.pdf
126,151,03.STL.001.pdf
127,152,03.STL.002.pdf
128,153,03.STL.003.pdf
129,154,03.STL.004.pdf
130,155,03.STL.005.pdf
131,156,03.STL.006.pdf
132,157,03.KM.003.pdf
133,159,03.BD.001.pdf
134,160,03.KL.001.pdf
135,165,02.KT.028.pdf
136,166,01.KRS.004.pdf
137,167,03.BD.008.pdf
138,168,03.STL.016.pdf
139,169,03.KK.015.pdf
140,170,03.NDR.026.pdf
141,171,03.TG.026.pdf
142,173,02.RB.013.pdf
143,174,01.SKR.015.pdf
144,175,02.SW.007.pdf
145,176,02.BGT.052.pdf
146,177,03.KL.015.pdf
147,178,01.TJS.009.pdf
148,180,01.TJS.005.pdf
